ID,Distance,Elevation
155,72.69229929129314,50.286530659861434
156,73.16432720876907,50.2767627189369
157,73.636355126245,50.2668215966428
158,74.10838304372092,50.256707292958275
159,74.58041096119685,50.24825332698151
160,75.05243887867279,50.149781962811176
161,75.52446679614872,49.99716478796011
162,75.99649471362464,49.8342638963469
163,76.46852263110057,49.66107928833871
164,76.9405505485765,49.477610963551406
165,77.41257846605242,49.382558641199594
166,77.88460638352836,49.295114305586736
167,78.35663430100429,49.20920391116586
168,78.82866221848022,49.12482745812113
169,79.30069013595615,49.062308624138375
170,79.77271805343207,49.04298248237234
171,80.244745970908,49.027300694318306
172,80.71677388838394,49.01526325995568
173,81.18880180585987,49.00687017924829
174,81.6608297233358,49.01931137330377
175,82.13285764081172,49.05533701513221
176,82.60488555828766,49.091885973398604
177,83.07691347576358,49.12895824809095
